_id,count,location,time,__v
638740d07c1400a6896c76d3,0,Marketing Raum EG,2022-11-30T11:38:56.138Z,0
63874ace7c1400a6896c76d5,1,Marketing Raum EG,2022-11-30T12:21:34.462Z,0
63874ace7c1400a6896c76d7,2,Marketing Raum EG,2022-11-30T12:21:34.793Z,0
63874ad77c1400a6896c76d9,3,Marketing Raum EG,2022-11-30T12:21:43.429Z,0
63874ce87c1400a6896c76db,2,Marketing Raum EG,2022-11-30T12:30:32.562Z,0
63874d1a7c1400a6896c76dd,1,Marketing Raum EG,2022-11-30T12:31:22.885Z,0
63874d4a7c1400a6896c76df,2,Marketing Raum EG,2022-11-30T12:32:10.035Z,0
63874d797c1400a6896c76e1,1,Marketing Raum EG,2022-11-30T12:32:57.253Z,0
63875bfd7c1400a6896c76e3,2,Marketing Raum EG,2022-11-30T13:34:53.360Z,0
63875bfd7c1400a6896c76e5,3,Marketing Raum EG,2022-11-30T13:34:53.838Z,0
63875bfe7c1400a6896c76e7,4,Marketing Raum EG,2022-11-30T13:34:54.238Z,0
63875e377c1400a6896c76e9,3,Marketing Raum EG,2022-11-30T13:44:23.562Z,0
63875e6a7c1400a6896c76eb,4,Marketing Raum EG,2022-11-30T13:45:14.560Z,0
638760337c1400a6896c76ed,3,Marketing Raum EG,2022-11-30T13:52:51.453Z,0
638761237c1400a6896c76ef,2,Marketing Raum EG,2022-11-30T13:56:51.349Z,0
638762e07c1400a6896c76f1,1,Marketing Raum EG,2022-11-30T14:04:16.875Z,0
6387633c7c1400a6896c76f3,2,Marketing Raum EG,2022-11-30T14:05:48.810Z,0
638763e07c1400a6896c76f5,1,Marketing Raum EG,2022-11-30T14:08:32.820Z,0
638764877c1400a6896c76f7,0,Marketing Raum EG,2022-11-30T14:11:19.477Z,0
638771747c1400a6896c76f9,1,Marketing Raum EG,2022-11-30T15:06:28.784Z,0
638771997c1400a6896c76fb,0,Marketing Raum EG,2022-11-30T15:07:05.277Z,0
638783697c1400a6896c76fd,1,Marketing Raum EG,2022-11-30T16:23:05.256Z,0
638783c67c1400a6896c76ff,0,Marketing Raum EG,2022-11-30T16:24:38.729Z,0
638799377c1400a6896c7701,1,Marketing Raum EG,2022-11-30T17:56:07.381Z,0
6387994a7c1400a6896c7703,0,Marketing Raum EG,2022-11-30T17:56:26.750Z,0
638865417c1400a6896c7705,1,Marketing Raum EG,2022-12-01T08:26:41.221Z,0
63886c787c1400a6896c7707,0,Marketing Raum EG,2022-12-01T08:57:28.719Z,0
63886cab7c1400a6896c7709,1,Marketing Raum EG,2022-12-01T08:58:19.614Z,0
63886d4e7c1400a6896c770b,0,Marketing Raum EG,2022-12-01T09:01:02.030Z,0
63886dc67c1400a6896c770d,1,Marketing Raum EG,2022-12-01T09:03:02.419Z,0
638873b27c1400a6896c770f,0,Marketing Raum EG,2022-12-01T09:28:18.976Z,0
638874ea7c1400a6896c7711,1,Marketing Raum EG,2022-12-01T09:33:30.057Z,0
638875b97c1400a6896c7713,0,Marketing Raum EG,2022-12-01T09:36:57.304Z,0
63887e1e7c1400a6896c7715,1,Marketing Raum EG,2022-12-01T10:12:46.148Z,0
638881307c1400a6896c7717,0,Marketing Raum EG,2022-12-01T10:25:52.021Z,0
6388826d7c1400a6896c7719,1,Marketing Raum EG,2022-12-01T10:31:09.862Z,0
63888f6d7c1400a6896c771b,0,Marketing Raum EG,2022-12-01T11:26:37.040Z,0
638895437c1400a6896c771d,1,Marketing Raum EG,2022-12-01T11:51:31.014Z,0
638896007c1400a6896c771f,0,Marketing Raum EG,2022-12-01T11:54:40.794Z,0
6388961e7c1400a6896c7721,1,Marketing Raum EG,2022-12-01T11:55:10.055Z,0
638896357c1400a6896c7723,0,Marketing Raum EG,2022-12-01T11:55:33.408Z,0
6388969f7c1400a6896c7725,1,Marketing Raum EG,2022-12-01T11:57:19.734Z,0
63889a657c1400a6896c7727,0,Marketing Raum EG,2022-12-01T12:13:25.148Z,0
63889b797c1400a6896c7729,1,Marketing Raum EG,2022-12-01T12:18:01.445Z,0
6388a3977c1400a6896c772b,2,Marketing Raum EG,2022-12-01T12:52:39.100Z,0
6388a39c7c1400a6896c772d,1,Marketing Raum EG,2022-12-01T12:52:44.749Z,0
6388a39c7c1400a6896c772f,0,Marketing Raum EG,2022-12-01T12:52:44.838Z,0
6388a39d7c1400a6896c7731,1,Marketing Raum EG,2022-12-01T12:52:45.722Z,0
6388a3b77c1400a6896c7733,0,Marketing Raum EG,2022-12-01T12:53:11.872Z,0
6388a5a47c1400a6896c7735,1,Marketing Raum EG,2022-12-01T13:01:24.433Z,0
6388a6ef7c1400a6896c7737,2,Marketing Raum EG,2022-12-01T13:06:55.494Z,0
6388a81e7c1400a6896c7739,1,Marketing Raum EG,2022-12-01T13:11:58.473Z,0
6388a81e7c1400a6896c773b,0,Marketing Raum EG,2022-12-01T13:11:58.697Z,0
6388a8577c1400a6896c773d,1,Marketing Raum EG,2022-12-01T13:12:55.114Z,0
6388a90b7c1400a6896c773f,0,Marketing Raum EG,2022-12-01T13:15:55.239Z,0
